X,Y,FID,HANDLER_ID,SITE_NAME,LOC_STR_NO,LOC_ADDR_1,LOC_ADDR_2,LOC_CITY,LOC_COUNTY,LOC_ZIP,CONTACT_NA,CONTACT_PH,GENERATOR,TRANSPORTE,TREATER,STORER,LAND_UNIT,HSWA_PERMI,LAT,LONG,HCS_CODE,HCS_REF,HCS_RES
-8777420.6221,4288766.8582,11,NCD986215515,ALION SCIENCE & TECHNOLOGY,5,TRIANGLE DR, ,DURHAM,DURHAM,27709,GIAO B NGUYEN,919-406-2119,SQG,N, , , , ,35.9138,-78.848911,40,USCGeocoder,USPSZipAreaCentroid - Exact
-8900133.3288,4311538.0099,12,NCD003219813,ALLEN INDUSTRIES,6434,BURNT POPLAR RD, ,GREENSBORO,GUILFORD,27409,JOHN  ALLEN,336-294-4777,SQG,N, , , , ,36.079297,-79.951258,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8900001.6379,4307934.9936,13,NCR000002097,ALLEN INDUSTRIES,4100,SHERATON CT, ,GREENSBORO,GUILFORD,27410,JOHN H ALLEN,336-294-4777 3200,SQG,N, , , , ,36.053134,-79.950075,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8707268.5262,4161783.3794,14,NCR000004465,ALLENS INC -PLANT #7,5900,TURKEY HWY, ,TURKEY,SAMPSON,28393,TOMMY  LANGSTON,910-596-0028,SQG,N, , , , ,34.984562,-78.218724,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8997633.952,4198463.0241,15,NCR000005330,ALLIED METAL FINISHING INC,2525,LUCENA ST, ,CHARLOTTE,MECKLENBURG,28206,STEVE  TURNER,704-347-1477,SQG,N, , , , ,35.254077,-80.827121,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9168299.4218,4288914.3413,16,NC0991302892,"ALTEC INDUSTRIES, INC.",150,ALTEC DRIVE, ,BURNSVILLE,YANCEY,28714,JEFF  MOONEY,8286785500 5560,LQG,N, , , , ,35.914873,-82.360235,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8763338.8179,4319505.4506,17,NCD980841753,"ALTEC INDUSTRIES, INC.",1550,AERIAL AVENUE, ,CREEDMOOR,GRANVILLE,27522,JAN  NORDCLIFF,9195282535,LQG,N, , , , ,36.137121,-78.722412,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8923396.0968,4308801.9327,18,NC0000706176,AMCASE INC,2880,RIDGEWOOD PARK DR, ,WINSTON SALEM,FORSYTH,27107,DOUGLAS R GRAY,336-784-5992 115,SQG,N, , , , ,36.05943,-80.160231,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9185806.6381,4232476.3022,19,NCD049774979,"AMCOR FLEXIBLES, INC.",3055,SWEETEN CREEK ROAD, ,ASHEVILLE,BUNCOMBE,28803,LARRY  FREVERT,8282773104,LQG,N, , , , ,35.503202,-82.517505,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8868142.5562,4344218.9295,20,NC0991302719,AMCOR TOBACCO PACKAGING REIDSVILLE,124,NORTH TECHNOLOGY DRIVE, ,REIDSVILLE,ROCKINGHAM,27320,TONY B ROGERS,3363615630,LQG,N, , , , ,36.316209,-79.66388,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9018340.0452,4203045.438,21,NCD043679059,AMERICAN & EFIRD INC FILAMENT PLT 05, ,20 AMERICAN ST, ,MOUNT HOLLY,GASTON,28120,JOHN  EAPEN,704-822-6014 2031,SQG,N, , , , ,35.287685,-81.013127,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8997608.2372,4197464.248,22,NCD986171197,AMERICAN CIRCUITS INC,513,W 24TH ST, ,CHARLOTTE,MECKLENBURG,28206,VIC  GONDHA,704-376-2800,SQG,N, , , , ,35.24675,-80.82689,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8998097.1524,4197228.3009,23,NCD981747561,AMERICAN CLEANERS,1806,N GRAHAM ST, ,CHARLOTTE,MECKLENBURG,28206,LARRY  HILL,704-576-2968,SQG,N, , , , ,35.245019,-80.831282,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8683530.5353,4065300.4689,24,NCR000001651,"AMERICAN DISTILLATION, INC.",1690,N.E. ROYSTER ROAD, ,LELAND,BRUNSWICK,28451,WILL M OLIVER,9103710993,LQG,N, , , , ,34.271382,-78.005482,40,BATCHGEO.COM - YAHOO API,GEOMETRIC_CENTER
-9064373.5489,4358387.2951,25,NCR000008920,AMERICAN EMERGENCY VEHICLES,165,AMERICAN WAY, ,JEFFERSON,ASHE,28640,JEFFERY L DRYER,336-982-9824 210,SQG,N, , , , ,36.418696,-81.426653,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8941971.201,4306905.5248,26,NCD980843122,AMERICAN INKS AND COATINGS CORP,120,REGENT DRIVE, ,WINSTON SALEM,FORSYTH,27103,DALE  WILSON,3367654950,LQG,N, , , , ,36.045657,-80.327094,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8903119.6969,4294077.511,27,NCD982085847,AMERICAN METALLURGY INC,505,GARRISON ST, ,HIGH POINT,GUILFORD,272607042,BRANT  RAMM,336-889-3277,SQG,N, , , , ,35.952428,-79.978085,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9002557.2791,4200780.5814,28,NCD986191146,AMERICAN OFFSET PRINTING INK,3847,CORPORATION CIRCLE, ,CHARLOTTE,MECKLENBURG,28216,MARK  SKERLAK,7043926412,SQG,N, , , , ,35.271076,-80.871348,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9016889.8862,4199236.9434,29,NCD048468961,AMERICAN TRUETZSCHLER INC,12300,MOORES CHAPEL RD, ,CHARLOTTE,MECKLENBURG,28214,MARK J SMITH,704-399-4521,SQG,N, , , , ,35.259754,-81.0001,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8936072.6038,4327024.1234,30,NCD034487389,AMERICRAFT CARTON INC,320,HANES MILL RD, ,WINSTON SALEM,FORSYTH,27105,RANDY  BROWN,336-744-1222,SQG,N, , , , ,36.191649,-80.274106,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8900135.2212,4310036.3665,31,NCR000148973,AMERITOX LTD,486,GALLIMORE DAIRY ROAD, ,GREENSBORO,GUILFORD,27409,MICHAEL E TURNER,3363877623,LQG,N, , , , ,36.068394,-79.951275,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8901940.9348,4312698.3693,32,NCD093777142,ANALOG DEVICES INC,7910,TRIAD CENTER DR, ,GREENSBORO,GUILFORD,27409,RICK  PURCELL,336-668-9511 4123,SQG,N, , , , ,36.087721,-79.967496,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8877729.7247,4310719.0561,33,NCD981862428,APAC ATLANTIC INC-THOMPSON ARTHUR,3500,HOLT`S CHAPEL RD, ,GREENSBORO,GUILFORD,27401,LORI W CARTER,336-412-6753,SQG,N, , , , ,36.073351,-79.750003,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8880224.5058,4310330.5361,34,NCD981748619,APAC ATLANTIC INC-THOMPSON ARTHUR,300,SOUTH BENBOW RD, ,GREENSBORO,GUILFORD,27420,WENDY L HALL-ARNOLD,3362745413,SQG,N, , , , ,36.07053,-79.772414,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8775890.981,4261784.8319,35,NCD042892067,APEX TOOL GROUP - APEX NC OPERATION,1000,LUFKIN ROAD, ,APEX,WAKE,27539,BRIAN B NEAL,9193872345,LQG,N, , ,Y, ,35.71725,-78.83517,31,GOOGLE EARTH, 
-9014760.7897,4180789.6846,36,NCD980605729,APLIX,12300,STEELE CREEK RD, ,CHARLOTTE,MECKLENBURG,28273,PRESTON  RAMSEY,704-588-1920,SQG,N, , , , ,35.124328,-80.980974,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8744931.0269,4287635.442,37,NC0991302639,XELLIA PHARMACEUTICAL LLC,8900,CAPITAL BLVD, ,RALEIGH,WAKE,27616,JAMES B REASON,919-327-5624,SQG,N, , , , ,35.905568,-78.557052,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9187575.6162,4223829.805,38,NCD982108797,APPLE TREE HONDA,195,UNDERWOOD RD, ,FLETCHER,HENDERSON,28732,FRANCIS  COX,828-684-4400,SQG,N, , , , ,35.439945,-82.533396,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9193762.9761,4246422.4701,39,NC0991302867,APROTECH POWERTRAIN LLC,31,ADAMS HILL RD, ,ASHEVILLE,BUNCOMBE,28806,JIM  JONES,8282531350 212,SQG,N, , , , ,35.605126,-82.588978,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8798946.806,4245890.5638,40,NCD982076135,ARAUCO PANELS USA LLC,985,CORINTH RD, ,MONCURE,CHATHAM,27559,RICARDO  HILLMAN,919-642-6623,SQG,N, , , , ,35.601241,-79.042284,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8782252.6672,4286082.1357,41,NCD982103715,ARCADIS - DURHAM,4915,"PROSPECTUS DR, STE F", ,DURHAM,DURHAM,27713,JERRY  REVIS,919-544-4535,SQG,N, , , , ,35.894265,-78.892318,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9039962.0752,4258425.7777,42,NCD986192649,ARMACELL LLC,1004,KEISLER ROAD, ,CONOVER,CATAWBA,28613,JOSEPH L NELSON,8009929116,SQG,N, , , , ,35.692747,-81.207361,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8822670.1027,4311349.8627,43,NCR000003061,ARMACELL LLC,7600,OAKWOOD ST EXT, ,MEBANE,ORANGE,27302,MARK  LAMARRE,919-304-3846 3848,SQG,N, , , , ,36.077931,-79.255394,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8940181.4062,4271434.1312,44,NCR000150409,ARNEG LLC,750,OLD HARGRAVE RD, ,LEXINGTON,DAVIDSON,27295,JEFF  KLEINEICK,336-956-5300,SQG,N, , , , ,35.787596,-80.311016,40,"USCGeocoder; SOURCE_CENSUS_TIGERLINES_2008",Exact AddressRangeInterpolation 52020.4618646135 Meters
-9003805.2819,4177102.4476,45,NCR000007864,ARNOLD PALMER CADILLAC,10725,PINEVILLE RD, ,PINEVILLE,MECKLENBURG,28134,JOHN M LOMENZO,704-556-7400,SQG,N, , , , ,35.097232,-80.882559,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9021977.7435,4206711.3202,46,NCD021387899,ARROCHEM INC,201,WESTLAND FARM RD, ,MOUNT HOLLY,GASTON,28120,"DAVID  HOSTETLER, JR.",704-827-0216,SQG,N, , , , ,35.314561,-81.045805,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8884938.5524,4270311.6494,47,NCD981856016,ARROW INTERNATIONAL INC,312,COMMERCE PLACE, ,ASHEBORO,RANDOLPH,27203,DAVE  JENSON,336-495-9702 7097,LQG,N, , , , ,35.779416,-79.814761,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8972759.7231,4231389.8025,48,NCR000146654,ARTISTIC FRAME CO,200,RUTH AVE, ,KANNAPOLIS,CABARRUS,28083,PETER  JARRETT,704-933-1492,SQG,N, , , , ,35.495256,-80.603672,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9192430.4818,4260619.0602,49,NCD982131476,ARVATO ENTERTAINMENT LLC,108,MONTICELLO RD, ,WEAVERVILLE,BUNCOMBE,28787,EDDIE  OLIVER,828-658-6503,SQG,N, , , , ,35.708747,-82.577008,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9071404.488,4356607.8803,50,NCD982116659,ASHE COUNTY FORD INC,409,E SECOND ST, ,WEST JEFFERSON,ASHE,28694,ERIC  GILLEY,336-246-7183 229,SQG,N, , , , ,36.405832,-81.489813,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8881203.6721,4259953.2154,51,NCR000137315,ASHEBORO FORD LINCOLN MERCURY,1602,E DIXIE DR, ,ASHEBORO,RANDOLPH,27205,MIKE  COLE,336-629-3194,SQG,N, , , , ,35.70389,-79.78121,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9189831.283,4246695.4843,52,NCD981863574,ASHEVILLE CLEANERS & DYERS INC,230,MERRIMON AVE, ,ASHEVILLE,BUNCOMBE,28801,A FULTON  ROBERTS,828-254-2364,SQG,N, , , , ,35.60712,-82.553659,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9194982.7348,4239464.5592,53,NCR000151316,ASHEVILLE FORD LINCOLN,611,BREVARD RD, ,ASHEVILLE,BUNCOMBE,28806,GARRETT C TOMBERLIN,828-253-2731,SQG,N, , , , ,35.5542910895,-82.5999352784,40,USCGeocoder,StreetSegment - Exact
-9190982.6605,4243922.119,54,NCD054282025,"ASHEVILLE METAL FINISHING, INC",178,CLINGMAN AVENUE, ,ASHEVILLE,BUNCOMBE,28801,THOMAS D ISRAEL,8282531476,LQG,N, , , , ,35.586862,-82.564002,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9185734.0578,4236297.133,55,NCR000150623,ASHEVILLE SURGERY CENTER,5,MEDICAL PARK DRIVE, ,ASHEVILLE,BUNCOMBE,28803,JAMES  BRUNNER,8282135793,LQG,N, , , , ,35.531139,-82.516853,40,"USCGeocoder; SOURCE_CENSUS_2008_ZCTAS",Exact ZCTACentroid 95059436.7685787 Meters
-9190287.8043,4241571.9202,56,NCD986228658,ASHEVILLE-BUNCOMBE TECHNICAL,340,VICTORIA RD, ,ASHEVILLE,BUNCOMBE,28801,KARA K KELLER,828-254-1921,SQG,N, , , , ,35.569691,-82.55776,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8753489.0467,4267979.7811,57,NCD088560032,ASHLAND INC,1415,S BLOODWORTH ST, ,RALEIGH,WAKE,27601,TREY  RICHRDSON,614-790-1713,CEG,N, , ,Y, ,35.76242,-78.63393,31,GOOGLE EARTH, 
-8956605.3269,4295667.8325,58,NCR000155549,ASHLEY FURNITURE INDUSTRIES INC- ADV FAC,333,ASHLEY FURNITURE WAY, ,ADVANCE,DAVIE,27006,BILL B MCLAIN,608-323-6175,SQG,N, , , , ,35.96399182,-80.45855459,40,USCGeocoder,AddressRangeInterpolation - Relaxed
-8932494.7953,4313652.3429,59,NCR000137430,ASINEX CORPORATION,200,E FIRST ST,"STES 401-404, 411 AND 412",WINSTON SALEM,FORSYTH,27101,TIM  SLOAN,3364621214,LQG,N, , , , ,36.094646,-80.241966,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8610143.495,4253494.4183,60,NCR000013110,ASMO GREENVILLE OF NC INC,1125,SUGG PARKWAY, ,GREENVILLE,PITT,27834,PAM  SAVAGE,2527541022,SQG,N, , , , ,35.656761,-77.346235,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8999888.0704,4277613.7833,61,NCD982134181,ASMO NORTH CAROLINA INC.,470,CRAWFORD ROAD, ,STATESVILLE,IREDELL,28625,DANNY R YOUNT,704-878-6663 8540,SQG,N, , , , ,35.83261466,-80.84737009,40,USCGeocoder,ExactParcelCentroidPoint - Relaxed
-9123654.1834,4216595.8756,62,NC0000102905,ASSOCIATED PRINTING SERVICES,905,NORTH MAIN ST, ,RUTHERFORDTON,RUTHERFORD,28139,ERIC  WELLS,828-286-9064,SQG,N, , , , ,35.386984,-81.95918,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9036828.5873,4202111.1315,63,NCR000151654,"ASSURED WASTE SOLUTIONS, LLC",148,BOXWOOD LANE, ,GASTONIA,GASTON,28054,DOUG  BOWMAN,7046169528,LQG,Y, , , , ,35.28083381,-81.1792124,40,USCGeocoder,AddressRangeInterpolation - Exact
-8763749.589,4282859.2424,64,NCR000158311,ASTRO PAK,6720,FLEETWOOD DRIVE, ,RALEIGH,WAKE,27612,RICK L GILBERT,9193238711,LQG,N, , , , ,35.87080771,-78.72610202,40,USCGeocoder,ExactParcelCentroidPoint - Relaxed
-8778945.0312,4049740.5871,65,NC0000102947,ATLANTIC PRINTING,1107,E FIFTH ST, ,TABOR CITY,COLUMBUS,28463,WELDON M SINGLETARY,910-653-3153,SQG,N, , , , ,34.155794,-78.862605,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8916600.0419,4319495.5261,66,NCD051746089,ATLANTIC SCRAP & PROCESSING LLC,1426,W MOUNTAIN ST, ,KERNERSVILLE,FORSYTH,27284,JAMES B WINEGAR,919-989-3102,SQG,N, , , , ,36.137049,-80.099181,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8970865.8446,4215468.8918,67,NCR000149690,ATLAS SIGN INDUSTRIES,707,COMMERCE DR, ,CONCORD,CABARRUS,28025,DAVE B ANDERSON,800-772-7932 2008,SQG,N, , , , ,35.37873,-80.586659,40,BATCHGEO.COM - YAHOO API,GEOMETRIC_CENTER
-8931656.6709,4316044.741,68,NC0000342972,AUTOMOTIVE MACHINE SHOP CO,1323,N LIBERTY ST, ,WINSTON SALEM,FORSYTH,27105,TOMMY  SNOW,336-722-0482,SQG,N, , , , ,36.11201,-80.234437,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9078832.7263,4289485.737,69,NCD981025406,AVERY DENNISON-RBIS,950,GERMAN STREET, ,LENOIR,CALDWELL,28645,TODD M HORTON,828-759-3450,LQG,N, , , , ,35.91903,-81.556542,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9192567.2935,4251154.6297,70,NCR000149187,AVL TECHNOLOGIES,15,N MERRIMON AVE, ,ASHEVILLE,BUNCOMBE,28804,GREG  LINDHOLM,828-250-9950 3601,SQG,N, , , , ,35.639681,-82.578237,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8546468.0783,4302302.2675,71,NCD042091215,"AVOCA, INCORPORATED",841,AVOCA FARM ROAD, ,MERRY HILL,BERTIE,27957,BRIAN M CONNER,2524822133 287,LQG,N, , , , ,36.012215,-76.774229,40,BATCHGEO.COM - YAHOO API,GEOMETRIC_CENTER
-8616361.9131,4132841.2024,72,NCD981930738,B & S BODY SHOP INC,1675,N MARINE BLVD, ,JACKSONVILLE,ONSLOW,28546,"BUDDY H HEWITT, JR",910-347-4156,SQG,N, , , , ,34.771272,-77.402096,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8930580.5454,4318475.708,73,NCD060302577,B/E AEROSPACE,1455,FAIRCHILD ROAD, ,WINSTON SALEM,FORSYTH,27105,MITCHELL  BARGER,3367672000,LQG,N, , ,Y, ,36.12965,-80.22477,31,GOOGLE EARTH, 
-8747585.7741,4285309.0694,74,NCR000147124,B3 SYSTEMS,3208,-106 SPOTTSWOOD STREET, ,RALEIGH,WAKE,27615,ROBERT W BAXTER,9197909090 103,SQG,N, , , , ,35.888639,-78.5809,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8813743.7266,4138287.5176,75,NCR000008912,BAKER CHEVROLET-PONTIAC INC,914,E 4TH AVE, ,RED SPRINGS,ROBESON,283770432,CHRISTOPHER  SMITH,910-843-5168,SQG,N, , , , ,34.811451,-79.175207,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8905799.8282,4289391.9391,76,NCD986204451,BAKER FURNITURE,2219,SHORE DR, ,HIGH POINT,RANDOLPH,27263,MICHAEL  HARVELL,336-431-9115 2656,SQG,N, , , , ,35.91834762,-80.00216103,40,USCGeocoder,ExactParcelCentroidPoint - Relaxed
-9065970.5384,4262137.6179,77,NCD059141184,BAKER FURNITURE CO.,1,BAKER WAY, ,CONNELLY SPRINGS,BURKE,28612,WILL L STANGE,8283975551 4255,LQG,N, , , , ,35.719823,-81.440999,40,BATCHGEO.COM - YAHOO API,GEOMETRIC_CENTER
-8755706.8649,4267896.5094,78,NCR000139436,BAKER ROOFING,517,MERCURY ST, ,RALEIGH,WAKE,27603,GARY J ENGLE,919-828-2975,SQG,N, , , , ,35.761813,-78.653853,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9075855.8205,4293606.1179,79,NCD083682526,BAKERS WASTE EQUIPMENT INC,1808,NORWOOD ST SW, ,LENOIR,CALDWELL,28645,HAROLD S BRADY,828-879-8222,SQG,N, , , , ,35.949,-81.5298,40,USCGeocoder,USPSZipAreaCentroid - Exact
-9070205.2375,4200083.9994,80,NCD991278706,BALDOR ELECTRIC,4401,E DIXON BLVD, ,SHELBY,CLEVELAND,28105,SAM J HAMRICK,704-476-3320,SQG,N, , , , ,35.26596703,-81.47903995,40,USCGeocoder,AddressRangeInterpolation - Relaxed
-9191112.0137,4257283.1149,81,NCD097359657,BALDOR ELECTRIC COMPANY,70,REEMS CREEK ROAD, ,WEAVERVILLE,BUNCOMBE,28787,GARY  MASSEY,8286454235 1718,LQG,N, , , , ,35.68441,-82.565164,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9062407.5354,4197834.4676,82,NCD980847149,BALDOR ELECTRIC CO,101,RELIANCE RD, ,KINGS MOUNTAIN,CLEVELAND,28086,DAVID N BEGLEY,704-481-4060,SQG,N, , , , ,35.249466,-81.408992,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8551114.3312,4128407.652,83,NC0000103002,BALLY REFRIGERATED BOXES INC,135,LITTLE NINE DR, ,MOREHEAD CITY,CARTERET,28557,MIKE  COYLE,252-240-2829,SQG,N, , , , ,34.73855,-76.815967,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8903661.0435,4311859.7685,84,NCR000149955,BALTEK INC,5240,NATIONAL CENTER DR, ,COLFAX,GUILFORD,27235,HECTOR  ECHEVERRY,336-398-1896,SQG,N, , , , ,36.081633,-79.982948,40,USCGeocoder,StreetSegment - Relaxed
-8875987.4634,4324252.6863,85,NCR000002907,BANKNOTE CORP OF AMERICA INC,6109,CORPORATE PARK DR, ,BROWNS SUMMIT,GUILFORD,27214,GREGG K DANZER,336-375-1134,SQG,N, , , , ,36.171554,-79.734352,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8900827.5172,4306351.3842,86,NCR000005173,BANNER PHARMACAPS INC.,4125,PREMIER DRIVE, ,HIGH POINT,GUILFORD,27265,SAM K CHEWNING,3368128700 23225,LQG,N, , , , ,36.041632,-79.957494,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8632511.1429,4289211.2378,87,NCD024829988,BARNHILL CONTRACTING CO,2311,N MAIN ST, ,TARBORO,EDGECOMBE,27886,B G JENNINGS,2528231021,SQG,N, , , , ,35.917033,-77.547167,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-9014439.0763,4182238.8692,88,NCD981466691,BASF CHARLOTTE TECHNICAL CENTER,11501,STEELE CREEK RD, ,CHARLOTTE,MECKLENBURG,28273,JEFFERY S FOXX,704-587-8120,SQG,N, , , , ,35.134975,-80.978084,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8779259.5088,4285414.0471,89,NCD139687974,"BASF CORPORATION, AGRICULTURAL RESEARCH CENTER",26,DAVIS DRIVE, ,RESEARCH TRIANGLE PARK,DURHAM,27709,TODD A THORNTON,9195472323,LQG,N, , , , ,35.889403,-78.86543,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-9128304.8891,4277447.9637,90,NCD059140764,BAXTER HEALTHCARE CORPORATION,65,PITTS STATION RD, ,MARION,MCDOWELL,28752,AMANDA  RICHCREEK,8287566809,LQG,N, , , , ,35.831407,-82.000958,40,BATCHGEO.COM - YAHOO API,UNKNOWN
-8778126.499,4290538.8496,91,NCD980600274,BAYER CROPSCIENCE LP,2,T W ALEXANDER DR, ,DURHAM,DURHAM,27709,CRAIG  PIENKOSZ,919-549-3990,SQG,N, , , , ,35.926691,-78.855252,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8775434.3484,4280561.5365,92,NCR000136077,BAYER CROPSCIENCE,3500,PARAMOUNT PKWY, ,MORRISVILLE,WAKE,27560,DANNY C TAYLOR,919-461-6522,SQG,N, , , , ,35.85408,-78.831068,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8418182.6066,4279471.0736,93,NCR000149229,BAYLISS BOATWORKS,600,HARBOR RD, ,WANCHESE,DARE,27981,TYLER W SPRENKLE,252-473-9797,SQG,N, , , , ,35.84614,-75.621821,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
